"","Year","ID_IPEDS","degree_bach","public","enroll_ftug","grant_federal","grant_state"
"368",2013,220808,1,0,111,270985,292500
"369",2013,220853,0,1,824,2919130,1217000
"370",2013,220862,1,1,2088,5162576,8433774
"371",2013,220978,1,1,3129,7724443,13268201
"372",2013,221050,0,1,396,735620,634938
"373",2013,221096,0,1,925,1869358,1072126
"374",2013,221102,0,1,493,733342,393694
"375",2013,221148,0,0,581,1900819,33000
"376",2013,221184,0,1,844,3049961,631070
"377",2013,221236,0,1,237,1172458,451813
"378",2013,221254,1,0,26,45750,70500
"379",2013,221281,0,1,257,1260211,493475
"380",2013,221333,0,1,237,637607,242797
"381",2013,221351,1,0,545,456698,666500
"382",2013,221388,0,1,162,526697,247000
"383",2013,221397,0,1,886,2153055,1400711
"384",2013,221430,0,1,284,794056,385905
"385",2013,221485,0,1,1394,4374025,957043
"386",2013,221494,0,1,440,475111,554975
"387",2013,221519,1,0,488,497490,451325
"388",2013,221582,0,1,179,576043,294000
"389",2013,221591,0,1,235,1028864,363618
"390",2013,221607,0,1,101,243038,134225
"391",2013,221616,0,1,383,1376600,712000
"392",2013,221625,0,1,539,1463465,547666
"393",2013,221634,0,1,174,844993,34401
"394",2013,221643,0,1,1900,4355246,3242275
"395",2013,221661,1,0,480,847369,317625
"396",2013,221731,1,0,208,386268,729068
"397",2013,221740,1,1,2335,3453489,9973596
"398",2013,221759,1,1,4261,5391836,17495520
"399",2013,221768,1,1,1301,3056352,5552683
"400",2013,221795,1,0,46,155005,10000
"401",2013,221838,1,1,1326,4946261,2210407
"402",2013,221847,1,1,2161,3497407,9235239
"403",2013,221892,1,0,245,398382,575650
"404",2013,221908,0,1,896,2550995,1306300
"405",2013,221953,1,0,315,839183,852900
"406",2013,221971,1,0,472,687107,1769589
"407",2013,221999,1,0,1613,1128326,807523
"408",2013,222053,0,1,1142,2434392,1393857
"409",2013,222062,0,1,1196,3185964,2127258
"410",2013,222105,0,0,31,52601,0
"411",2013,246202,0,0,183,585254,0
"412",2013,248925,0,1,666,1940689,747805
"413",2013,368443,1,0,45,151880,0
"414",2013,368452,1,0,83,104365,4000
"415",2013,382771,0,0,99,388566,4000
"416",2013,388043,0,0,43,209854,0
"417",2013,392840,1,0,53,76417,62000
"418",2013,418870,0,0,39,206170,36410
"419",2013,418889,0,0,81,101621,13556
"420",2013,440873,0,0,73,390418,2667
"421",2013,443340,1,0,8,24558,0
"422",2013,443650,0,0,72,298948,2667
"423",2013,443766,1,0,4,5545,0
"424",2013,444255,1,0,21,59314,2001
"425",2013,445249,0,0,82,353753,19667
"426",2013,448664,0,0,100,383390,667
"427",2013,449010,1,0,293,1010936,369284
"428",2013,449764,1,0,31,55320,0
"429",2013,450535,1,0,7,23525,0
"430",2013,452124,0,0,67,290494,9875
"431",2013,455567,0,0,46,187094,0
"432",2013,456940,0,0,43,162008,0
"433",2014,219505,1,0,11,62508,19000
"434",2014,219578,1,0,29,65177,41900
"435",2014,219602,1,1,1184,2751898,4136736
"436",2014,219639,1,0,70,170274,392813
"437",2014,219709,1,0,1392,1239036,1644250
"438",2014,219718,1,0,490,1268578,1183030
"439",2014,219790,1,0,188,375478,536437
"440",2014,219806,1,0,488,988163,1671523
"441",2014,219824,0,1,1163,3297212,1182180
"442",2014,219833,1,0,351,727465,1322774
"443",2014,219879,0,1,708,1811357,1220159
"444",2014,219888,0,1,731,1594231,1197958
"445",2014,219903,0,0,1427,5609303,240133
"446",2014,219921,0,1,117,461594,220800
"447",2014,219949,1,0,178,293500,641699
"448",2014,219976,1,0,626,575314,1435337
"449",2014,219994,0,1,389,712577,452477
"450",2014,220002,1,0,4,9645,5250
"451",2014,220057,0,1,390,1266561,577142
"452",2014,220075,1,1,2025,4407741,7182563
"453",2014,220118,0,0,81,233358,27510
"454",2014,220127,0,1,666,1552537,711157
"455",2014,220181,1,0,221,649257,153047
"456",2014,220206,1,0,51,119460,32100
"457",2014,220215,1,0,340,504746,659734
"458",2014,220251,0,1,301,639052,295858
"459",2014,220279,0,1,296,463644,286304
"460",2014,220312,1,0,83,319429,220200
"461",2014,220321,0,1,398,1314323,528067
"462",2014,220394,0,1,70,362264,131240
"463",2014,220400,0,1,783,2347677,1279609
"464",2014,220464,0,0,11,25730,32480
"465",2014,220473,1,0,187,355043,205426
"466",2014,220516,1,0,188,386283,303625
"467",2014,220552,1,0,147,626771,233195
"468",2014,220598,1,0,312,1857073,286890
"469",2014,220604,1,0,145,824538,180616
"470",2014,220613,1,0,746,1070572,1473025
"471",2014,220631,1,0,250,718273,663860
"472",2014,220640,0,1,259,553167,206540
"473",2014,220701,1,0,447,631099,657300
"474",2014,220710,1,0,334,1014056,1071650
"475",2014,220756,0,1,110,263438,127712
"476",2014,220808,1,0,102,337997,260250
"477",2014,220853,0,1,969,2511120,1281655
"478",2014,220862,1,1,2317,5822234,9127475
"479",2014,220978,1,1,3036,7230154,13079708
"480",2014,221050,0,1,450,827500,696030
"481",2014,221096,0,1,916,1895491,1426147
"482",2014,221102,0,1,446,627986,341143
"483",2014,221148,0,0,439,1332481,9000
"484",2014,221184,0,1,1043,4087548,1013715
"485",2014,221236,0,1,293,1398052,625713
"486",2014,221254,1,0,21,54550,64000
"487",2014,221281,0,1,276,1365739,543152
"488",2014,221333,0,1,235,510572,310423
"489",2014,221351,1,0,507,467550,547700
"490",2014,221388,0,1,130,639459,179008
"491",2014,221397,0,1,854,1949438,1400145
"492",2014,221430,0,1,245,820400,348800
"493",2014,221485,0,1,1430,4711013,1162576
"494",2014,221494,0,1,390,513469,424800
"495",2014,221519,1,0,466,464382,502850
"496",2014,221582,0,1,149,489336,193932
"497",2014,221591,0,1,180,790492,265055
"498",2014,221607,0,1,93,253429,168169
"499",2014,221616,0,1,534,1520340,938000
"500",2014,221625,0,1,641,2026788,453947
"501",2014,221634,0,1,223,1018239,48000
"502",2014,221643,0,1,1966,4392283,3617389
"503",2014,221661,1,0,553,866186,418875
"504",2014,221731,1,0,197,471670,804812
"505",2014,221740,1,1,2144,3317186,8882611
"506",2014,221759,1,1,4689,6119630,18351723
"507",2014,221768,1,1,1174,2748891,5218225
"508",2014,221795,1,0,80,236990,34000
"509",2014,221838,1,1,1378,4965593,2140615
"510",2014,221847,1,1,1875,3031680,8204516
"511",2014,221892,1,0,318,588400,717213
"512",2014,221908,0,1,1060,2832025,1554122
"513",2014,221953,1,0,298,900471,775365
"514",2014,221971,1,0,328,508722,989003
"515",2014,221999,1,0,1604,1054135,697694
"516",2014,222053,0,1,1164,2477043,1569965
"517",2014,222062,0,1,1238,3011528,2197221
"518",2014,222105,0,0,40,80025,6003
"519",2014,246202,0,0,208,523635,12552
"520",2014,248925,0,1,668,1541611,740092
"521",2014,368443,1,0,29,115513,0
"522",2014,368452,1,0,81,108249,6750
"523",2014,382771,0,0,110,459511,7667
"524",2014,388043,0,0,10,44985,0
"525",2014,392840,1,0,49,64874,73700
"526",2014,418870,0,0,34,153840,0
"527",2014,418889,0,0,42,92905,29424
"528",2014,440873,0,0,89,463899,0
"529",2014,443340,1,0,4,6580,0
"530",2014,443650,0,0,77,344557,2000
"531",2014,443766,1,0,9,20244,0
"532",2014,444255,1,0,10,38638,10257
"533",2014,445249,0,0,139,500898,20298
"534",2014,448664,0,0,94,380383,4000
"535",2014,449010,1,0,190,713648,223266
"536",2014,449764,1,0,17,32392,0
"537",2014,450535,1,0,7,36752,3600
"538",2014,452124,0,0,68,246284,11815
"539",2014,455567,0,0,44,154151,11600
"540",2014,456940,0,0,68,343231,0
"541",2015,219505,1,0,13,71002,5000
"542",2015,219578,1,0,29,37713,32000
"543",2015,219602,1,1,1281,3399728,4378705
"544",2015,219639,1,0,60,163776,284139
"545",2015,219709,1,0,1387,1037929,1340650
"546",2015,219718,1,0,491,1493719,1356747
"547",2015,219790,1,0,164,298533,453512
"548",2015,219806,1,0,497,970397,1657728
"549",2015,219824,0,1,1830,4320225,3788747
"550",2015,219833,1,0,311,563199,1092700
"551",2015,219879,0,1,768,1906723,1905578
"552",2015,219888,0,1,1246,2435169,2297061
"553",2015,219903,0,0,1529,6009807,257278
"554",2015,219921,0,1,136,378287,251856
"555",2015,219949,1,0,200,356037,771505
"556",2015,219976,1,0,662,690469,1301313
"557",2015,219994,0,1,418,822972,687108
"558",2015,220002,1,0,37,180625,2667
"559",2015,220057,0,1,528,1389111,1307646
"560",2015,220075,1,1,1980,4307795,6293273
"561",2015,220118,0,0,50,180655,36666
"562",2015,220127,0,1,733,1634894,779075
"563",2015,220181,1,0,208,606819,138812
"564",2015,220206,1,0,44,98835,56182
"565",2015,220215,1,0,292,502873,705308
"566",2015,220251,0,1,293,590397,400364
"567",2015,220279,0,1,312,450858,445423
"568",2015,220312,1,0,91,254768,214259
"569",2015,220321,0,1,403,1034170,538679
"570",2015,220394,0,1,109,313022,188363
"571",2015,220400,0,1,1039,2932235,2792333
"572",2015,220464,0,0,15,34195,66616
"573",2015,220473,1,0,174,281897,187481
"574",2015,220516,1,0,154,352458,227750
"575",2015,220552,1,0,204,585470,573178
"576",2015,220598,1,0,444,2144523,813500
"577",2015,220604,1,0,183,1013698,325426
"578",2015,220613,1,0,826,1355031,1659417
"579",2015,220631,1,0,243,692563,650582
"580",2015,220640,0,1,329,724803,423202
"581",2015,220701,1,0,275,430701,462076
"582",2015,220710,1,0,338,829890,950150
"583",2015,220756,0,1,103,266002,179811
"584",2015,220808,1,0,80,290105,222875
"585",2015,220853,0,1,1277,3222751,2023437
"586",2015,220862,1,1,2053,4932993,7201094
"587",2015,220978,1,1,2793,6932487,10760797
"588",2015,221050,0,1,473,921375,783000
"589",2015,221096,0,1,1796,3693729,5189647
"590",2015,221102,0,1,424,784944,670699
"591",2015,221148,0,0,429,1121178,6000
"592",2015,221184,0,1,1798,5646010,3659611
"593",2015,221236,0,1,416,1007557,558791
"594",2015,221254,1,0,33,95521,82900
"595",2015,221281,0,1,256,1085552,552181
"596",2015,221333,0,1,269,661648,465240
"597",2015,221351,1,0,562,422728,626500
"598",2015,221388,0,1,106,522525,192000
"599",2015,221397,0,1,1105,2963133,3310663
"600",2015,221430,0,1,290,936986,327599
"601",2015,221485,0,1,2167,6555367,3451105
"602",2015,221494,0,1,509,971155,615826
"603",2015,221519,1,0,469,389301,444900
"604",2015,221582,0,1,142,490746,39123
"605",2015,221591,0,1,259,1000728,644518
"606",2015,221607,0,1,93,206999,138873
"607",2015,221616,0,1,550,2029764,1067618
"608",2015,221625,0,1,536,1868813,904003
"609",2015,221634,0,1,181,799694,388047
"610",2015,221643,0,1,2324,4603501,6133810
"611",2015,221661,1,0,535,790807,355882
"612",2015,221731,1,0,212,431673,702610
"613",2015,221740,1,1,1853,2550079,6883309
"614",2015,221759,1,1,4700,5911288,16607534
"615",2015,221768,1,1,1010,2189123,3885595
"616",2015,221795,1,0,55,171020,40150
"617",2015,221838,1,1,1397,5474711,2018897
"618",2015,221847,1,1,1577,2567097,6423914
"619",2015,221892,1,0,354,585590,715728
"620",2015,221908,0,1,1433,3473256,3804720
"621",2015,221953,1,0,283,836571,723785
"622",2015,221971,1,0,338,532808,1034686
"623",2015,221999,1,0,1607,1239053,732032
"624",2015,222053,0,1,2125,4470220,3907027
"625",2015,222062,0,1,1545,3864366,4098194
"626",2015,222105,0,0,34,114419,5602
"627",2015,246202,0,0,483,1691658,56329
"628",2015,248925,0,1,775,1808616,1114713
"629",2015,368443,1,0,35,65749,3001
"630",2015,368452,1,0,62,117461,11000
"631",2015,382771,0,0,79,329966,5334
"632",2015,388043,0,0,25,141636,0
"633",2015,392840,1,0,43,59161,77555
"634",2015,418870,0,0,49,226700,38525
